HUD frame time nsec:,16642000

Range Index,Elapsed Time, First Event,Last Event
0,7776,1,1
1,1216,2,2
2,2912,4,4
3,2848,6,6
4,14944,8,8
5,157888,21,21
6,156320,24,24
7,156928,27,27
8,18464,54,54
9,16224,57,57
10,544,60,60
11,576,63,63
12,544,66,66
13,37888,69,69
14,6784,72,72
15,36608,75,75
16,3104,78,78
17,544,81,81
18,576,84,84
19,960,87,87
20,544,90,90
21,608,93,93
22,576,96,96
23,3968,107,107
24,1216,108,108
25,99584,132,132
26,6816,142,142
27,47936,147,147
28,371744,179,179
29,7136,197,197
30,40384,202,202
31,12307360,204,204
